Target,AFLGo,Beacon,DAFL,DAFL_naive
swftophp-4.7-2016-9827,342,7,7,7
swftophp-4.7-2016-9829,331,9,7,7
swftophp-4.7-2016-9831,337,10,7,7
swftophp-4.7-2017-9988,334,12,7,7
swftophp-4.7-2017-11728,345,7,7,7
swftophp-4.7-2017-11729,345,14,7,7
swftophp-4.7.1-2017-7578,338,10,7,7
swftophp-4.8-2018-7868,345,7,8,8
swftophp-4.8-2018-8807,350,8,8,8
swftophp-4.8-2018-8962,349,8,8,8
swftophp-4.8-2018-11095,347,14,8,8
swftophp-4.8-2018-11225,350,8,8,8
swftophp-4.8-2018-11226,350,8,8,8
swftophp-4.8-2018-20427,349,7,8,8
swftophp-4.8.1-2019-9114,352,8,7,8
swftophp-4.8-2019-12982,349,8,8,8
swftophp-4.8-2020-6628,349,8,8,8
lrzip-9de7ccb-2017-8846,172,45,5,6
lrzip-ed51e14-2018-11496,173,44,4,4
cxxfilt-2016-4487,205,2676,16,17
cxxfilt-2016-4489,203,4633,17,19
cxxfilt-2016-4490,205,3900,16,17
cxxfilt-2016-4491,207,4348,16,17
cxxfilt-2016-4492,208,4355,17,19
cxxfilt-2016-6131,210,3125,16,17
objcopy-2017-8393,1655,4773,172,285
objcopy-2017-8394,1647,4685,192,318
objcopy-2017-8395,1665,4595,252,635
objdump-2017-8392,1816,6968,255,421
objdump-2017-8396,1807,7416,262,517
objdump-2017-8397,1796,10424,261,516
objdump-2017-8398,1806,8859,428,1270
objdump-2.31.1-2018-17360,3306,5518,284,474
strip-2017-7303,3566,3899,58,62
nm-2017-14940,3434,4162,53,750
readelf-2017-16828,537,66,15,24
xmllint-2017-5969,2163,1037,987,20089
xmllint-2017-9047,2166,1070,7049,12169
xmllint-2017-9048,2169,1021,983,1033
cjpeg-1.5.90-2018-14498,242,1,3,3
cjpeg-2.0.4-2020-13790,239,1,3,3
